n,scenario,requested_ratio,generated_permutations,prefix_tests,rejected_prefixes,comparisons,local_assignments,vector_assignments,elapsed_seconds,internal_overhead_ratio,actual_ratio,comparisons_normalized,overhead_comparisons_pct,local_assignments_normalized,overhead_local_assignments_pct,vector_assignments_normalized,overhead_vector_assignments_pct,elapsed_seconds_normalized,overhead_elapsed_seconds_pct,accepted_percent,identity_ratio
9,X_n9_ratio_0.7778,0.7777777777777778,282240,767209,2,10343356,6586823,2989319,1.666930624982342,2.71828585600907,0.7777777777777778,0.7777790978855033,0.0001320107725466,0.7777788273869105,0.0001049609132719,0.7777788185215974,0.0001040743819569,0.7800924134348419,-0.2464498594316744,77.77777777777779,0.7777777777777778
9,X_n9_ratio_0.8889,0.8888888888888888,322560,876809,1,11820967,7527792,3416362,1.9099844170268625,2.7182818700396827,0.8888888888888888,0.8888895489427516,6.600538627887786e-05,0.8888894136934553,5.24804566470749e-05,0.8888894092607987,5.203719098956227e-05,0.8938370506674255,-0.0527814132046833,88.88888888888889,0.8888888888888888
9,X_n9_ratio_1.0000,1.0,362880,986409,0,13298578,8468761,3843405,2.1368373750010505,2.71827876984127,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.6126369349418459,100.0,1.0
10,X_n10_ratio_0.1000,0.1,362880,986419,9,13298669,8468810,3843428,2.200077957997564,2.718306327160494,0.1,0.1000005887841935,5.887841934976157e-05,0.10000046760034963,4.676003496212333e-05,0.10000046833410955,4.683341095490512e-05,0.097262120060753,0.0453535623608628,10.0,0.1
10,X_n10_ratio_0.2000,0.2,725760,1972828,8,26597251,16937576,7686836,4.356298041995615,2.718292548500882,0.2,0.20000052336372756,5.233637275503522e-05,0.20000041564475524,4.156447552250419e-05,0.20000041629698628,4.162969862719912e-05,0.1925853498239856,-0.1095438933011005,20.0,0.2
10,X_n10_ratio_0.3000,0.3,1088640,2959237,7,39895833,25406342,11530244,6.548154624993913,2.7182879556143447,0.3,0.30000045794326163,4.579432616447221e-05,0.30000036368916083,3.636891608427284e-05,0.300000364259863,3.642598629949312e-05,0.28948401532653245,-0.1017283728701468,30.0,0.3
10,X_n10_ratio_0.4000,0.4,1451520,3945646,6,53194415,33875108,15373652,8.721143707982264,2.718285659171076,0.4,0.4000003925227957,3.9252279565582526e-05,0.4000003117335664,3.117335664049037e-05,0.4000003122227397,3.1222273966236e-05,0.3855485771808232,-0.1800601217888053,40.0,0.4
10,X_n10_ratio_0.5000,0.5,1814400,4932055,5,66492997,42343874,19217060,10.890044500003569,2.7182842813051145,0.5,0.5000003271023298,3.271023297779507e-05,0.500000259777972,2.5977797202259012e-05,0.5000002601856164,2.601856163853e-05,0.48143240187285347,-0.2770586311649781,50.0,0.5
10,X_n10_ratio_0.6000,0.6,2177280,5918464,4,79791579,50812640,23060468,13.206081584008643,2.7182833627278074,0.6,0.6000002616818638,2.6168186384456504e-05,0.6000002078223776,2.0782237764027656e-05,0.6000002081484931,2.0814849310824e-05,0.583820899567128,0.2977536330084351,60.0,0.6
10,X_n10_ratio_0.7000,0.7,2540160,6904873,3,93090161,59281406,26903876,15.297535582998536,2.718282706601159,0.7,0.7000001962613979,1.9626139791117936e-05,0.7000001558667832,1.55866783257963e-05,0.7000001561113699,1.561113699422023e-05,0.6762809186368351,-0.1528598087129573,70.0,0.7
10,X_n10_ratio_0.8000,0.8,2903040,7891282,2,106388743,67750172,30747284,17.42926258299849,2.7182822145061727,0.8,0.8000001308409319,1.3084093186677135e-05,0.8000001039111888,1.0391118876462713e-05,0.8000001040742466,1.0407424655412e-05,0.7705213461894364,-0.4195904326947497,80.0,0.8
10,X_n10_ratio_0.9000,0.9,3265920,8877691,1,119687325,76218938,34590692,20.115247084002476,2.718281831765628,0.9,0.900000065420466,6.5420465933385685e-06,0.9000000519555944,5.195559438231356e-06,0.9000000520371233,5.2037123277060005e-06,0.8892646598380797,1.8443677045724691,90.0,0.9
10,X_n10_ratio_1.0000,1.0,3628800,9864100,0,132985907,84687704,38434100,22.620090500015067,2.718281525573192,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.281252311652416,100.0,1.0
